awc_name,lat,lon,awc_code,awc_alpha_code,dist_code
Near Bus Stop Tokaratti (Arbhavi),16.218073,74.98112,29555010318,A,555
Gandhi Nagar Hallur (Arbhavi),16.371523,74.98089,29555010401,A,555
Basava Nagar Hallur (Arbhavi),16.392736,74.97277,29555010402,A,555
Vidya Nagar Hallur (Arbhavi),16.377893,74.98964,29555010403,A,555
Renuka Nagar Hallur (Arbhavi),16.372244,75.01247,29555010404,A,555
Shiva Shankar Nagar Hallur (Arbhavi),16.392935,74.98599,29555010405,A,555
Vijay Nagar Hallur (Arbhavi),16.381687,74.96419,29555010406,A,555
Durga Devi Temaple Hallur (Arbhavi),16.370707,75.00465,29555010407,A,555
Mallayya Temaple Hallur (Arbhavi),16.367668,75.004974,29555010408,A,555
Harijan Keri Hallur (Arbhavi),16.365652,75.00208,29555010409,A,555
Basaveshwar Temaple Hallur (Arbhavi),16.366568,75.00173,29555010410,A,555
Nava Nagar Hallur (Arbhavi),16.380558,75.00638,29555010411,A,555
Near Kannada School Khantti (Arbhavi),16.347385,74.98689,29555010412,A,555
Shivalingeshwar Temaple Khanatti (Arbhavi),16.346342,75.01319,29555010413,A,555
Near Mallikarjun Temaple Munyal (Arbhavi),16.324732,75.02937,29555010414,A,555
Languti Tot Munyal (Arbhavi),16.325115,75.01246,29555010415,A,555
Swami Tot Munyal (Arbhavi),16.324057,75.00149,29555010416,A,555
Near Madhavanand Temaple Munyal (Arbhavi),16.32307,75.00579,29555010417,A,555
Near Kannada School Munya; (Arbhavi),16.3215,75.03046,29555010418,A,555
Karaganni Tot Munyal (Arbhavi),16.33549,75.023796,29555010419,A,555
Near Kannada School Shivapur (Arbhavi),16.347363,74.98687,29555010420,A,555
Madhavanand Tot Shivapur (Arbhavi),16.348816,75.00403,29555010421,A,555
Near Laxmi Temaple Shivapur (Arbhavi),16.354692,75.00359,29555010422,A,555
Samaj Mandir Shivapur (Arbhavi),16.355862,75.00454,29555010423,A,555
Malingray Tempale Laxmeshwar (Arbhavi),16.252071,75.01073,29555010501,A,555
Basav Nagar Laxmeshwar (Arbhavi),16.243265,75.0136,29555010502,A,555
Durga Devi Tempale Laxmeshwar (Arbhavi),16.246412,75.00997,29555010503,A,555
Near Gram Panchayat Dhavaleshwar (Arbhavi),16.313255,75.07429,29555010504,A,555
Near Kannda School Dhavaleshwar (Arbhavi),16.318584,75.07469,29555010505,A,555
Ramalingeshwar Tempale Kulgod (Arbhavi),16.245577,75.04375,29555010506,A,555
Ambedakar Bhavan Kulgod (Arbhavi),16.313175,75.07429,29555010507,A,555
Angadikatti Galli Kulgod (Arbhavi),16.246925,75.04518,29555010508,A,555
Hosapeth Oni Kulgod (Arbhavi),16.246597,75.046265,29555010509,A,555
Janata Plot Kulgod (Arbhavi),16.24932,75.04527,29555010510,A,555
Laxmi Nagar Kulgod (Arbhavi),16.245945,75.04794,29555010511,A,555
Bagimani Tot Kulgod (Arbhavi),16.242517,75.03992,29555010512,A,555
Laxmi Nagar Mannapur (Arbhavi),16.2928,75.07375,29555010513,A,555
Near Gram Panchayat Hunshyal Py (Arbhavi),16.303581,75.037476,29555010514,A,555
Hanuman Temapale Hunshyal Py (Arbhavi),16.310604,75.03568,29555010515,A,555
